[2024-06-06T03:47:26.241Z] Attempting to play song: Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:27.087Z] Started playing: Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:27.087Z] Updated bot's status: Now Playing - Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:57.260Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.261Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.261Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.261Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.262Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.262Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.261Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.262Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.263Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.264Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.263Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.263Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.264Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.265Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.264Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.265Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.266Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.266Z] Error playing song - Cannot read properties of undefined (reading 'title')
